Step,Mag,Ham,
0,-44,-32,
1,40,16,
2,0,-48,
3,-4,-36,
4,12,44,
5,-56,-44,
6,36,-8,
7,-56,-20,
8,24,-12,
9,4,-24,
10,24,-68,
11,20,-20,
12,-16,-40,
13,-8,-48,
14,-20,64,
15,36,20,
16,-8,-60,
17,0,-48,
18,-16,40,
19,44,48,
20,32,-60,
21,40,-44,
22,-60,16,
23,32,-4,
24,-40,-24,
25,-28,20,
26,-60,-28,
27,24,8,
28,8,-12,
29,8,0,
30,-12,-20,
31,-20,160,
32,-36,-32,
33,20,20,
34,8,56,
35,-44,-60,
36,-16,-60,
37,36,-8,
38,-32,40,
39,-12,-36,
0,26,-168,
1,-50,-196,
2,-24,-140,
3,-16,-300,
4,-26,-192,
5,-56,-176,
6,28,-156,
7,-14,-156,
8,-82,-164,
9,42,-108,
10,-30,-136,
11,0,-176,
12,-30,-196,
13,26,-224,
14,14,-156,
15,12,-176,
16,-56,-248,
17,8,-164,
18,-14,-164,
19,-14,-216,
20,50,-244,
21,-30,-228,
22,-10,-176,
23,-34,-104,
24,-34,-176,
25,-60,-196,
26,10,-192,
27,-26,-216,
28,80,-176,
29,10,-184,
30,-2,-216,
31,-4,-144,
32,34,-148,
33,4,-284,
34,-12,-96,
35,-32,-176,
36,20,-160,
37,-28,-164,
38,56,-224,
39,-32,-156,
0,14,-84,
1,-58,-32,
2,-10,-32,
3,6,76,
4,-22,-48,
5,26,-72,
6,-38,4,
7,-6,60,
8,-26,56,
9,-10,-36,
10,-18,-56,
11,22,-64,
12,-54,44,
13,18,-60,
14,18,32,
15,-10,-24,
16,18,68,
17,6,48,
18,30,-36,
19,26,76,
20,58,12,
21,22,-40,
22,-26,-96,
23,-18,76,
24,-26,-8,
25,-38,12,
26,-50,-40,
27,-46,76,
28,-22,-8,
29,-22,32,
30,34,-72,
31,22,0,
32,42,-108,
33,34,8,
34,-14,32,
35,-10,4,
36,34,0,
37,-14,-92,
38,58,4,
39,34,40,
0,40,40,
1,-16,44,
2,28,8,
3,28,-88,
4,-36,-84,
5,-28,-64,
6,-44,-12,
7,0,12,
8,64,52,
9,12,48,
10,28,16,
11,-12,-16,
12,-60,-64,
13,-36,60,
14,-24,-40,
15,28,-64,
16,20,-52,
17,12,0,
18,-16,20,
19,-12,20,
20,-40,60,
21,-52,32,
22,-52,-48,
23,0,8,
24,-8,4,
25,12,-24,
26,-36,-64,
27,-28,-4,
28,-4,-60,
29,28,12,
30,-28,-12,
31,-12,44,
32,8,0,
33,-16,8,
34,-44,-52,
35,-32,0,
36,0,4,
37,4,92,
38,0,64,
39,-44,20,
0,18,-72,
1,-2,-44,
2,-22,4,
3,2,40,
4,-22,24,
5,-10,-48,
6,-6,20,
7,-38,-16,
8,22,40,
9,-34,136,
10,62,28,
11,-26,-28,
12,-38,-48,
13,66,20,
14,10,20,
15,-6,-88,
16,-14,32,
17,-30,88,
18,-30,20,
19,-2,52,
20,6,8,
21,58,-32,
22,10,-24,
23,-6,24,
24,-2,44,
25,22,-64,
26,-34,128,
27,58,68,
28,-62,92,
29,14,0,
30,10,16,
31,22,-56,
32,30,20,
33,6,-52,
34,-2,20,
35,10,-4,
36,18,60,
37,30,-12,
38,2,20,
39,-6,-36,
0,-4,-32,
1,84,-20,
2,24,44,
3,20,16,
4,-36,60,
5,-20,16,
6,36,-64,
7,44,84,
8,-36,16,
9,-20,-4,
10,-44,32,
11,56,-92,
12,-16,-28,
13,20,20,
14,-20,28,
15,-4,-28,
16,36,-40,
17,24,-36,
18,-12,-64,
19,-52,24,
20,-16,72,
21,-8,-24,
22,-24,-20,
23,52,76,
24,16,-36,
25,12,0,
26,-16,56,
27,0,-52,
28,-28,36,
29,40,4,
30,-20,64,
31,4,-56,
32,-8,-40,
33,24,-8,
34,-12,-16,
35,0,132,
36,-32,72,
37,-32,16,
38,44,-28,
