Step,Mag,Ham,
0,-4,120,
1,16,28,
2,-40,12,
3,12,-48,
4,12,-52,
5,-20,-16,
6,24,40,
7,36,-4,
8,8,0,
9,0,-64,
10,-48,-40,
11,20,108,
12,-72,24,
13,-4,12,
14,-36,-24,
15,32,-8,
16,-8,28,
17,32,88,
18,-4,4,
19,4,-12,
20,-4,76,
21,-8,32,
22,28,-28,
23,68,-20,
24,24,80,
25,-52,84,
26,0,60,
27,12,-20,
28,-24,-4,
29,0,-28,
30,-36,48,
31,4,-52,
32,52,-16,
33,-28,-32,
34,36,24,
35,20,-4,
36,-28,-44,
37,60,120,
38,12,-8,
39,4,56,
40,28,0,
41,-8,68,
42,-64,-32,
43,-24,68,
44,68,24,
45,36,-16,
46,20,-20,
47,12,16,
48,24,56,
49,16,-48,
50,-8,-52,
51,36,100,
52,12,36,
53,12,68,
54,32,-12,
55,-4,4,
56,-4,44,
57,8,68,
58,32,56,
59,-24,16,
60,32,-24,
61,-8,-8,
62,20,140,
63,0,40,
64,12,20,
65,20,0,
66,-12,48,
67,-24,84,
68,-12,8,
69,56,20,
70,12,8,
71,12,12,
72,-12,-16,
73,-24,32,
74,-16,36,
75,-16,20,
76,36,-20,
77,0,-8,
78,4,76,
79,48,12,
80,-12,-108,
81,20,-44,
82,8,-12,
83,32,16,
84,-8,56,
85,8,44,
86,-8,60,
87,24,24,
88,12,0,
89,0,76,
90,-8,-16,
91,36,-8,
92,36,76,
93,-68,-64,
94,0,24,
95,-32,-8,
96,-32,0,
97,-24,8,
98,-36,16,
99,16,-60,
100,-4,52,
101,8,36,
102,-4,-44,
103,-28,-16,
104,-20,36,
105,32,-16,
106,4,-16,
107,-28,60,
108,12,8,
109,-4,-20,
110,-8,-12,
111,20,36,
112,-40,-64,
113,8,4,
114,8,44,
115,36,-32,
116,-4,32,
117,-8,40,
118,0,24,
119,24,-28,
120,16,-20,
121,52,-44,
122,-60,24,
123,-28,-12,
124,-56,108,
125,8,-28,
126,64,-16,
127,28,108,
128,20,8,
129,16,76,
130,64,12,
131,-20,-36,
132,12,8,
133,28,-52,
134,-44,32,
135,-32,-16,
136,-16,-4,
137,-32,32,
138,-28,-36,
139,4,100,
140,16,28,
141,-4,-48,
142,8,-8,
143,28,96,
144,-24,-24,
145,24,24,
146,28,36,
147,-60,8,
148,-28,44,
149,44,-4,
150,-12,-12,
151,-12,12,
152,16,12,
153,24,40,
154,20,76,
155,40,96,
156,-4,72,
157,-44,36,
158,-32,20,
159,-12,28,
160,4,44,
161,-32,28,
162,4,12,
163,-12,16,
164,-40,24,
165,32,36,
166,16,-16,
167,-40,-4,
168,-44,40,
169,-20,-8,
170,56,40,
171,-20,-16,
172,36,-52,
173,32,-32,
174,-32,20,
175,36,112,
176,16,8,
177,-8,-8,
178,-52,-8,
179,-48,-16,
180,-60,-28,
181,4,-8,
182,-36,12,
183,8,80,
184,-40,124,
185,0,-56,
186,-4,60,
187,-24,100,
188,28,40,
189,-16,52,
190,8,36,
191,-28,-20,
192,20,-52,
193,28,-16,
194,8,68,
195,-20,8,
196,8,52,
197,44,4,
198,-28,12,
199,8,0,
200,44,12,
201,0,60,
202,56,64,
203,-28,72,
204,-12,96,
205,28,0,
206,-20,48,
207,52,40,
208,-44,-24,
209,8,24,
210,-20,24,
211,-44,-8,
212,-40,-12,
213,16,12,
214,16,28,
215,20,28,
216,-28,-56,
217,16,12,
218,0,4,
219,40,-16,
220,-8,-28,
221,16,76,
222,24,16,
223,-4,-4,
224,4,-28,
225,20,-44,
226,-16,64,
227,20,24,
228,-28,16,
229,16,-48,
230,-16,40,
231,-28,20,
232,-12,-12,
233,4,52,
234,-32,28,
235,12,36,
236,44,-64,
237,-24,72,
238,0,16,
239,0,24,
240,20,16,
241,28,-88,
242,-24,-20,
243,20,28,
244,36,8,
245,-24,4,
246,48,84,
247,-4,8,
248,12,48,
249,0,28,
250,12,44,
251,-24,-12,
252,0,-80,
253,-28,28,
254,-4,24,
255,-28,28,
256,24,60,
257,-24,60,
258,-12,104,
259,-28,16,
260,-24,-40,
261,-40,72,
262,-32,-12,
263,-32,20,
264,60,112,
265,-8,-32,
266,12,36,
267,-32,4,
268,52,40,
269,-4,120,
270,12,52,
271,-8,-40,
272,-52,-12,
273,-4,-28,
274,20,16,
275,-32,-20,
276,-4,12,
277,-16,-36,
278,60,-84,
279,36,-52,
280,-16,20,
281,20,92,
282,-72,32,
283,12,48,
284,-44,24,
285,20,8,
286,40,72,
287,-36,28,
288,48,36,
289,24,112,
290,-48,44,
291,-12,12,
292,12,24,
293,-32,-24,
294,12,-52,
295,-4,36,
296,-12,-20,
297,-48,16,
298,-40,-8,
299,-28,20,
