Step,Mag,Ham
0,4,-40,
1,-40,32,
2,60,-20,
3,-64,56,
4,-24,-20,
5,-8,84,
6,-24,64,
7,16,4,
8,-32,80,
9,16,-4,
10,-4,28,
11,48,56,
12,32,0,
13,-48,-52,
14,-64,52,
15,20,20,
16,28,24,
17,12,80,
18,44,44,
19,-12,8,
20,44,24,
21,0,24,
22,8,8,
23,4,12,
24,-16,52,
25,-32,16,
26,-56,12,
27,0,-56,
28,-24,-28,
29,-20,-52,
30,20,16,
31,-56,12,
32,20,-40,
33,-8,0,
34,-16,16,
35,-28,28,
36,-32,24,
37,-48,24,
38,-28,-20,
39,28,72,
40,20,40,
41,-16,40,
42,0,104,
43,-4,8,
44,-8,-12,
45,40,8,
46,-12,20,
47,4,-12,
48,-52,36,
49,48,76,
50,60,-12,
51,8,80,
52,-60,40,
53,40,-44,
54,-24,0,
55,16,44,
56,-12,-28,
57,88,36,
58,28,40,
59,-48,-60,
60,-40,-20,
61,4,-20,
62,20,4,
63,16,56,
64,-8,-44,
65,-16,16,
66,8,76,
67,8,-8,
68,64,-40,
69,4,56,
70,-16,-12,
71,4,-32,
72,-16,-48,
73,-28,52,
74,-44,-52,
75,20,-8,
76,-12,48,
77,36,84,
78,0,-64,
79,-20,-40,
80,44,-8,
81,-8,20,
82,-8,20,
83,36,-12,
84,16,72,
85,-48,-36,
86,-4,28,
87,-4,28,
88,-40,64,
89,8,-4,
90,8,28,
91,12,8,
92,-44,0,
93,-16,-4,
94,56,-36,
95,-4,56,
96,32,60,
97,-12,-28,
98,48,160,
99,8,28,
100,16,-48,
101,8,-8,
102,-48,76,
103,-44,-12,
104,32,-20,
105,-24,88,
106,-8,-20,
107,40,-20,
108,52,32,
109,24,28,
110,40,4,
111,24,-28,
112,-12,-16,
113,-24,-8,
114,24,60,
115,-72,68,
116,-48,52,
117,-4,16,
118,12,-4,
119,4,56,
120,20,-32,
121,-8,40,
122,-52,40,
123,0,-108,
124,20,-24,
125,68,28,
126,24,-36,
127,36,28,
128,-20,60,
129,16,52,
130,0,-4,
131,32,-56,
132,0,-56,
133,-28,-28,
134,28,8,
135,24,12,
136,48,64,
137,8,-24,
138,-40,64,
139,-16,72,
140,-28,16,
141,8,24,
142,52,44,
143,8,40,
144,24,-28,
145,-12,-16,
146,4,0,
147,-4,24,
148,28,-40,
149,8,-48,
150,0,-32,
151,-28,-32,
152,-12,-28,
153,-32,20,
154,-40,20,
155,12,4,
156,-32,0,
157,28,-44,
158,0,-28,
159,0,-20,
160,-20,36,
161,20,-40,
162,-44,12,
163,56,-32,
164,16,64,
165,44,-4,
166,16,100,
167,-8,40,
168,40,24,
169,-16,-24,
170,24,28,
171,4,20,
172,32,-12,
173,-4,40,
174,24,80,
175,-12,16,
176,-8,-12,
177,-64,28,
178,-52,56,
179,-12,-12,
180,32,16,
181,4,12,
182,-16,52,
183,-24,20,
184,-4,-4,
185,-32,32,
186,12,80,
187,-16,40,
188,0,-16,
189,-28,-16,
190,-12,28,
191,16,4,
192,-4,-52,
193,-16,60,
194,-16,0,
195,-8,-60,
196,-4,-52,
197,4,-20,
198,-4,-76,
199,32,-40,
200,-4,40,
201,-36,48,
202,-28,-20,
203,20,0,
204,24,16,
205,36,-12,
206,-52,24,
207,4,44,
208,56,-56,
209,20,-48,
210,-4,-52,
211,-20,-8,
212,0,-32,
213,-16,28,
214,36,40,
215,12,8,
216,-20,56,
217,0,-4,
218,8,-20,
219,0,-48,
220,0,72,
221,4,36,
222,16,-44,
223,36,-8,
224,-28,40,
225,-16,-60,
226,24,24,
227,-16,-84,
228,-12,12,
229,52,-36,
230,12,-8,
231,-32,28,
232,32,8,
233,-44,-12,
234,24,40,
235,-4,-32,
236,-4,8,
237,16,20,
238,-24,8,
239,36,40,
240,-52,-68,
241,24,0,
242,32,32,
243,-52,24,
244,56,40,
245,-48,64,
246,56,48,
247,-48,12,
248,-52,12,
249,0,-8,
250,20,-16,
251,-52,28,
252,-4,-64,
253,28,-4,
254,12,16,
255,-44,28,
256,36,40,
257,4,-8,
258,-20,-24,
259,-60,8,
260,44,32,
261,-16,108,
262,-40,-4,
263,4,56,
264,-16,4,
265,-16,20,
266,8,-36,
267,-24,56,
268,8,-88,
269,4,84,
270,24,-12,
271,-56,52,
272,-24,48,
273,-20,8,
274,-56,-24,
275,-40,-40,
276,16,-16,
277,36,28,
278,-64,36,
279,8,-36,
280,12,20,
281,28,68,
282,16,-12,
283,-28,28,
284,-4,88,
285,24,4,
286,12,36,
287,-36,36,
288,-12,44,
289,0,4,
290,-20,12,
291,24,-36,
292,-12,36,
293,52,4,
294,-16,0,
295,-16,-4,
296,-40,44,
297,24,-44,
298,4,28,
299,4,-56,
