Step,Mag,Ham,
0,44,32,
1,8,88,
2,16,-36,
3,28,40,
4,-48,92,
5,-4,44,
6,4,108,
7,0,-32,
8,-4,-20,
9,16,-8,
10,-8,-20,
11,-16,24,
12,-52,28,
13,-4,60,
14,-16,56,
15,0,60,
16,-28,8,
17,24,32,
18,60,36,
19,36,4,
20,-56,48,
21,-44,-12,
22,-44,24,
23,0,-4,
24,40,-56,
25,-20,108,
26,-24,44,
27,-24,52,
28,-32,80,
29,-44,68,
30,-24,-20,
31,-4,28,
32,4,68,
33,-4,0,
34,4,44,
35,-56,52,
36,-12,116,
37,40,-48,
38,28,56,
39,-8,0,
40,-4,120,
41,40,68,
42,28,120,
43,-40,20,
44,4,36,
45,16,32,
46,-12,28,
47,4,64,
48,-56,32,
49,-8,12,
50,-12,36,
51,-44,92,
52,-28,0,
53,20,68,
54,0,92,
55,16,64,
56,36,96,
57,4,96,
58,60,56,
59,24,96,
60,24,24,
61,-8,-64,
62,28,68,
63,-20,80,
64,-32,8,
65,20,28,
66,-16,44,
67,12,16,
68,-8,4,
69,-12,0,
70,60,44,
71,12,60,
72,-24,68,
73,-16,52,
74,24,12,
75,56,4,
76,16,44,
77,8,16,
78,16,16,
79,-20,52,
80,16,-48,
81,20,-40,
82,-8,88,
83,12,72,
84,-56,-4,
85,-24,8,
86,8,76,
87,-60,64,
88,-8,32,
89,24,68,
90,-48,8,
91,20,76,
92,4,20,
93,12,0,
94,8,36,
95,4,52,
96,0,8,
97,-24,108,
98,-24,72,
99,8,-24,
100,0,-12,
101,20,68,
102,-16,-8,
103,-4,40,
104,16,0,
105,20,4,
106,12,76,
107,24,64,
108,12,32,
109,28,12,
110,-44,48,
111,-24,64,
112,-44,132,
113,-12,20,
114,32,-40,
115,28,-28,
116,56,8,
117,12,4,
118,0,-4,
119,-24,68,
120,-32,32,
121,-8,-52,
122,28,32,
123,-16,64,
124,-40,44,
125,-16,48,
126,-16,20,
127,28,-16,
128,-4,56,
129,48,24,
130,0,76,
131,-32,68,
132,-68,72,
133,-4,60,
134,-52,4,
135,32,40,
136,16,-44,
137,16,-4,
138,4,44,
139,-40,8,
140,-28,80,
141,-4,52,
142,20,-16,
143,4,72,
144,-28,-8,
145,-20,104,
146,-4,28,
147,48,60,
148,-40,120,
149,-16,28,
150,-16,136,
151,-60,16,
152,-52,84,
153,28,40,
154,-28,80,
155,-12,52,
156,0,24,
157,-20,56,
158,36,120,
159,-8,8,
160,60,40,
161,-36,64,
162,-56,24,
163,-8,4,
164,12,68,
165,-16,64,
166,52,-16,
167,16,40,
168,4,44,
169,52,120,
170,28,68,
171,-44,0,
172,8,40,
173,16,32,
174,16,64,
175,52,36,
176,4,12,
177,-8,-24,
178,28,20,
179,0,72,
180,-56,40,
181,-16,120,
182,32,48,
183,-4,60,
184,-12,20,
185,12,72,
186,0,-40,
187,-12,0,
188,8,4,
189,40,20,
190,-8,-28,
191,-20,116,
192,32,-8,
193,84,92,
194,20,112,
195,-24,124,
196,-28,72,
197,20,44,
198,0,8,
199,8,32,
200,16,96,
201,-24,44,
202,-36,84,
203,-28,80,
204,-20,60,
205,-28,44,
206,24,36,
207,24,-24,
208,24,52,
209,-20,64,
210,-8,56,
211,-28,28,
212,-20,-28,
213,16,96,
214,16,56,
215,-16,48,
216,-36,28,
217,-16,64,
218,-32,52,
219,-4,20,
220,32,-24,
221,-20,52,
222,12,16,
223,64,92,
224,-32,52,
225,-28,124,
226,24,12,
227,4,64,
228,-36,52,
229,4,36,
230,-48,-60,
231,16,52,
232,-16,24,
233,44,36,
234,-4,72,
235,-44,-8,
236,28,36,
237,52,52,
238,-16,44,
239,-8,52,
240,4,24,
241,8,120,
242,-8,12,
243,0,52,
244,24,56,
245,-4,20,
246,-8,52,
247,24,-8,
248,4,56,
249,20,12,
250,40,48,
251,40,164,
252,-64,72,
253,-28,-20,
254,-44,104,
255,-4,40,
256,48,108,
257,4,96,
258,-4,-12,
259,0,28,
260,-16,112,
261,16,36,
262,0,20,
263,-4,132,
264,0,8,
265,60,16,
266,-20,64,
267,28,16,
268,16,48,
269,52,24,
270,12,32,
271,-20,60,
272,-16,40,
273,4,68,
274,0,32,
275,16,52,
276,44,52,
277,8,52,
278,8,-20,
279,-32,68,
280,-12,40,
281,-4,28,
282,-12,140,
283,-16,12,
284,20,112,
285,4,92,
286,-32,36,
287,-12,112,
288,-12,4,
289,-28,40,
290,-8,120,
291,44,88,
292,-32,16,
293,4,88,
294,24,80,
295,0,24,
296,-40,32,
297,-8,100,
298,56,60,
299,-44,-44,
