Step,Mag,Ham
0,-18,-44,
1,2,-68,
2,18,8,
3,2,-16,
4,-6,-28,
5,-66,72,
6,30,-44,
7,6,56,
8,-10,16,
9,10,-84,
10,-58,-44,
11,26,44,
12,38,60,
13,-2,-64,
14,22,20,
15,42,-48,
16,42,64,
17,-18,-72,
18,-30,-24,
19,-46,48,
20,-10,76,
21,-30,24,
22,-22,72,
23,42,-60,
24,6,12,
25,10,-96,
26,26,-12,
27,22,36,
28,42,-52,
29,10,56,
30,-42,-4,
31,-18,64,
32,54,-52,
33,-6,-36,
34,-42,-36,
35,14,-4,
36,62,24,
37,6,-20,
38,-30,4,
39,18,32,
40,-26,-24,
41,-62,0,
42,18,-4,
43,-2,44,
44,-18,44,
45,2,-12,
46,38,-12,
47,42,68,
48,38,8,
49,10,0,
50,-14,92,
51,14,0,
52,50,-20,
53,-2,4,
54,42,-16,
55,-42,24,
56,-42,36,
57,22,-16,
58,26,12,
59,-10,8,
60,10,-32,
61,-22,-8,
62,14,-24,
63,-26,-20,
64,-10,-44,
65,46,40,
66,-74,-8,
67,14,-72,
68,-22,-44,
69,10,-72,
70,-14,52,
71,-10,40,
72,-2,44,
73,-14,24,
74,-14,-36,
75,-22,76,
76,-26,20,
77,30,4,
78,-6,8,
79,-6,24,
80,18,-28,
81,-2,72,
82,-10,-80,
83,42,12,
84,18,24,
85,-42,-40,
86,14,24,
87,42,0,
88,-34,-40,
89,-10,-44,
90,-26,92,
91,26,60,
92,-62,32,
93,-18,-36,
94,14,-36,
95,42,4,
96,50,-28,
97,14,24,
98,-66,32,
99,-26,20,
100,-38,132,
101,2,20,
102,-18,16,
103,-26,72,
104,30,92,
105,18,-12,
106,22,8,
107,2,-92,
108,26,28,
109,-10,-12,
110,6,-32,
111,30,16,
112,-14,-48,
113,26,24,
114,-6,-52,
115,34,28,
116,26,44,
117,30,-4,
118,-26,28,
119,-10,-64,
120,42,4,
121,-58,12,
122,-6,-48,
123,26,44,
124,-14,-28,
125,-18,-40,
126,-10,0,
127,-14,60,
128,-34,8,
129,10,60,
130,22,40,
131,-6,-12,
132,18,-48,
133,-46,24,
134,-6,32,
135,-14,-20,
136,-22,40,
137,10,-16,
138,42,-8,
139,-58,0,
140,-2,-36,
141,10,16,
142,-10,8,
143,26,-4,
144,14,-8,
145,30,-48,
146,46,12,
147,-38,-84,
148,-2,-28,
149,-14,8,
150,22,48,
151,6,28,
152,-6,-60,
153,38,-52,
154,30,-12,
155,-30,24,
156,-2,-20,
157,10,-8,
158,18,4,
159,-34,16,
160,30,64,
161,30,-4,
162,-6,40,
163,-14,-116,
164,22,20,
165,-6,-28,
166,-14,68,
167,-22,0,
168,10,48,
169,-10,-60,
170,66,-24,
171,-2,-28,
172,58,-20,
173,10,80,
174,-18,-4,
175,-30,-20,
176,14,52,
177,-50,100,
178,-38,16,
179,-42,-4,
180,22,28,
181,2,-12,
182,18,28,
183,-38,-36,
184,6,64,
185,-18,12,
186,2,-8,
187,-18,0,
188,-6,-48,
189,66,24,
190,-58,4,
191,6,4,
192,18,72,
193,-2,88,
194,18,24,
195,-6,32,
196,-42,56,
197,14,-40,
198,-2,4,
199,-66,48,
200,70,-36,
201,-10,36,
202,66,24,
203,6,0,
204,34,20,
205,18,-52,
206,50,40,
207,-18,92,
208,10,-4,
209,-22,32,
210,14,-16,
211,34,-96,
212,-38,36,
213,-10,-12,
214,10,-8,
215,98,48,
216,-26,16,
217,34,-24,
218,-6,8,
219,-26,8,
220,-2,84,
221,62,-32,
222,-18,-36,
223,26,-20,
224,-50,-24,
225,-42,20,
226,-6,-32,
227,-18,-40,
228,-46,8,
229,-38,0,
230,10,76,
231,26,16,
232,26,-12,
233,30,-8,
234,-42,-16,
235,54,0,
236,46,4,
237,-2,24,
238,14,-24,
239,-58,0,
240,-2,-8,
241,-6,64,
242,-46,-28,
243,74,-28,
244,58,24,
245,-30,36,
246,30,-44,
247,-38,-12,
248,22,-60,
249,10,100,
250,-14,-12,
251,2,-96,
252,-14,24,
253,-18,-36,
254,30,4,
255,10,0,
256,-54,8,
257,14,72,
258,2,40,
259,18,-8,
260,14,-8,
261,-14,-24,
262,6,20,
263,-14,40,
264,34,64,
265,-14,0,
266,-2,40,
267,-2,24,
268,58,-16,
269,50,-20,
270,-54,-52,
271,2,-12,
272,-26,-20,
273,14,-84,
274,14,80,
275,-10,-16,
276,18,-36,
277,-6,-32,
278,2,8,
279,2,56,
280,-18,44,
281,26,-16,
282,-6,-4,
283,-14,-40,
284,-50,-16,
285,-26,24,
286,22,8,
287,38,-16,
288,-26,16,
289,30,-24,
290,2,-52,
291,22,-20,
292,-22,-44,
293,18,56,
294,18,8,
295,10,40,
296,34,60,
297,2,-8,
298,54,-4,
299,18,16,
